温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
14:55:38	26.4	26.1	26.6	-270.1	-270.1
14:55:39	26.4	26.1	26.6	-270.1	-270.1
14:55:40	26.4	26.1	26.6	-270.1	-270.1
14:55:41	26.4	26.1	26.6	-270.1	-270.1
14:55:43	26.4	26.1	26.6	-270.1	-270.1
14:55:45	26.4	26.1	26.6	-270.1	-270.1
14:55:46	26.4	26.1	26.6	-270.1	-270.1
14:55:47	26.5	26.1	26.7	-270.1	-270.1
14:55:48	26.5	26.1	26.7	-270.1	-270.1
14:55:49	26.5	26.1	26.7	-270.1	-270.1
14:55:50	26.5	26.1	26.7	-270.1	-270.1
14:55:51	26.5	26.1	26.7	-270.1	-270.1
14:55:52	26.6	26.1	26.6	-270.1	-270.1
14:55:53	26.6	26.1	26.6	-270.1	-270.1
14:55:54	26.6	26.1	26.6	-270.1	-270.1
14:55:55	26.6	26.1	26.6	-270.1	-270.1
14:55:56	26.7	26.1	26.6	-270.1	-270.1
14:55:57	26.7	26.1	26.6	-270.1	-270.1
14:55:58	26.7	26.1	26.6	-270.1	-270.1
14:55:59	26.8	26.1	26.6	-270.1	-270.1
14:56:00	26.8	26.1	26.6	-270.1	-270.1
14:56:01	26.8	26.1	26.6	-270.1	-270.1
14:56:03	26.9	26.1	26.6	-270.1	-270.1
14:56:05	27	26.1	26.6	-270.1	-270.1
14:56:07	27.1	26.1	26.6	-270.1	-270.1
14:56:08	27.2	26.1	26.6	-270.1	-270.1
14:56:09	27.2	26.1	26.6	-270.1	-270.1
14:56:10	27.3	26.1	26.6	-270.1	-270.1
14:56:11	27.4	26.1	26.6	-270.1	-270.1
14:56:12	27.5	26.1	26.6	-270.1	-270.1
14:56:13	27.5	26.1	26.6	-270.1	-270.1
14:56:14	27.6	26.1	26.6	-270.1	-270.1
14:56:15	27.7	26.1	26.6	-270.1	-270.1
14:56:16	27.8	26.1	26.6	-270.1	-270.1
14:56:17	27.9	26.1	26.6	-270.1	-270.1
14:56:18	27.9	26.1	26.6	-270.1	-270.1
14:56:19	28	26.1	26.6	-270.1	-270.1
14:56:20	28.1	26.1	26.6	-270.1	-270.1
14:56:21	28.2	26.1	26.6	-270.1	-270.1
14:56:22	28.3	26.1	26.6	-270.1	-270.1
14:56:23	28.4	26.1	26.6	-270.1	-270.1
14:56:24	28.5	26.1	26.6	-270.1	-270.1
14:56:25	28.7	26.1	26.6	-270.1	-270.1
14:56:26	28.8	26.1	26.6	-270.1	-270.1
14:56:27	28.9	26.1	26.6	-270.1	-270.1
14:56:28	29.1	26.1	26.5	-270.1	-270.1
14:56:29	29.2	26.1	26.6	-270.1	-270.1
14:56:30	29.3	26.1	26.5	-270.1	-270.1
14:56:31	29.5	26.1	26.5	-270.1	-270.1
14:56:32	29.6	26.1	26.5	-270.1	-270.1
14:56:33	29.8	26.1	26.5	-270.1	-270.1
14:56:34	29.9	26.1	26.5	-270.1	-270.1
14:56:35	30.1	26.1	26.5	-270.1	-270.1
14:56:36	30.2	26.1	26.5	-270.1	-270.1
14:56:37	30.4	26.1	26.6	-270.1	-270.1
14:56:38	30.6	26.1	26.6	-270.1	-270.1
14:56:39	30.8	26.1	26.6	-270.1	-270.1
14:56:40	30.9	26.1	26.6	-270.1	-270.1
14:56:41	31.1	26.1	26.6	-270.1	-270.1
14:56:42	31.3	26.1	26.6	-270.1	-270.1
14:56:43	31.4	26.1	26.6	-270.1	-270.1
14:56:44	31.6	26.1	26.6	-270.1	-270.1
14:56:45	31.8	26.1	26.6	-270.1	-270.1
14:56:46	31.9	26.1	26.6	-270.1	-270.1
14:56:47	32.1	26.1	26.6	-270.1	-270.1
14:56:48	32.3	26.1	26.6	-270.1	-270.1
14:56:49	32.5	26.1	26.6	-270.1	-270.1
14:56:50	32.7	26.1	26.6	-270.1	-270.1
14:56:51	32.8	26.1	26.6	-270.1	-270.1
14:56:52	33	26.1	26.6	-270.1	-270.1
14:56:53	33.2	26.1	26.6	-270.1	-270.1
14:56:54	33.4	26.1	26.6	-270.1	-270.1
14:56:55	33.6	26.1	26.6	-270.1	-270.1
14:56:56	33.8	26.1	26.6	-270.1	-270.1
14:56:57	34	26.2	26.6	-270.1	-270.1
14:56:58	34.2	26.2	26.6	-270.1	-270.1
14:56:59	34.3	26.1	26.6	-270.1	-270.1
14:57:00	34.5	26.1	26.6	-270.1	-270.1
14:57:01	34.8	26.2	26.6	-270.1	-270.1
14:57:02	34.9	26.2	26.6	-270.1	-270.1
14:57:03	35.1	26.1	26.6	-270.1	-270.1
14:57:04	35.3	26.1	26.6	-270.1	-270.1
