温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
16:02:15	413.9	423.6	72.3	-270.1	-270.1
16:02:16	413.9	423.6	72.3	-270.1	-270.1
16:02:17	413.9	423.6	72.4	-270.1	-270.1
16:02:18	413.9	423.6	72.4	-270.1	-270.1
16:02:19	413.9	423.6	72.3	-270.1	-270.1
16:02:20	413.9	423.6	72.3	-270.1	-270.1
16:02:21	413.9	423.6	72.3	-270.1	-270.1
16:02:22	413.9	423.6	72.3	-270.1	-270.1
16:02:23	413.9	423.6	72.3	-270.1	-270.1
16:02:24	413.9	423.6	72.2	-270.1	-270.1
16:02:25	413.9	423.7	72.3	-270.1	-270.1
16:02:26	413.9	423.7	72.3	-270.1	-270.1
16:02:27	413.9	423.7	72.3	-270.1	-270.1
16:02:28	413.9	423.7	72.3	-270.1	-270.1
16:02:29	413.9	423.6	72.2	-270.1	-270.1
16:02:30	413.9	423.6	72.1	-270.1	-270.1
16:02:31	413.9	423.6	72	-270.1	-270.1
16:02:32	413.9	423.6	72	-270.1	-270.1
16:02:33	413.9	423.6	72	-270.1	-270.1
16:02:34	413.9	423.6	72	-270.1	-270.1
16:02:35	413.9	423.6	71.9	-270.1	-270.1
16:02:36	413.9	423.6	71.9	-270.1	-270.1
16:02:37	413.9	423.6	71.9	-270.1	-270.1
16:02:38	413.9	423.6	71.8	-270.1	-270.1
16:02:39	413.9	423.6	71.8	-270.1	-270.1
16:02:40	413.9	423.6	71.6	-270.1	-270.1
16:02:41	413.9	423.5	71.3	-270.1	-270.1
16:02:42	413.9	423.5	70.8	-270.1	-270.1
16:02:43	414	423.6	70.4	-270.1	-270.1
16:02:44	414	423.6	70	-270.1	-270.1
16:02:45	414	423.6	69.4	-270.1	-270.1
16:02:46	414	423.6	69	-270.1	-270.1
16:02:47	413.9	423.6	68.5	-270.1	-270.1
16:02:48	413.9	423.5	68	-270.1	-270.1
16:02:49	413.9	423.5	67.5	-270.1	-270.1
16:02:50	413.9	423.5	67.2	-270.1	-270.1
16:02:51	413.9	423.5	67.1	-270.1	-270.1
16:02:52	413.9	423.5	67	-270.1	-270.1
16:02:53	413.9	423.5	66.9	-270.1	-270.1
16:02:54	413.9	423.5	66.8	-270.1	-270.1
16:02:55	413.9	423.5	66.6	-270.1	-270.1
16:02:56	413.9	423.5	66.6	-270.1	-270.1
16:02:57	413.9	423.5	66.3	-270.1	-270.1
16:02:58	413.9	423.5	65.8	-270.1	-270.1
16:02:59	413.9	423.5	65.4	-270.1	-270.1
16:03:00	413.9	423.5	65.1	-270.1	-270.1
16:03:01	413.9	423.5	64.9	-270.1	-270.1
16:03:02	413.9	423.4	64.7	-270.1	-270.1
16:03:03	413.9	423.4	64.5	-270.1	-270.1
16:03:04	413.9	423.5	64.3	-270.1	-270.1
16:03:05	413.9	423.5	64.1	-270.1	-270.1
16:03:06	413.9	423.5	64.1	-270.1	-270.1
16:03:07	413.9	423.5	64.1	-270.1	-270.1
16:03:08	413.9	423.5	64.1	-270.1	-270.1
16:03:09	413.9	423.5	64.1	-270.1	-270.1
16:03:10	413.9	423.5	64.1	-270.1	-270.1
16:03:11	413.9	423.5	64	-270.1	-270.1
16:03:12	413.9	423.5	64	-270.1	-270.1
16:03:13	413.9	423.5	64	-270.1	-270.1
16:03:14	413.9	423.5	63.9	-270.1	-270.1
16:03:15	413.9	423.5	63.9	-270.1	-270.1
16:03:16	413.9	423.5	63.9	-270.1	-270.1
16:03:17	413.9	423.5	63.9	-270.1	-270.1
16:03:18	413.9	423.5	64	-270.1	-270.1
16:03:19	413.9	423.5	64.1	-270.1	-270.1
16:03:20	413.9	423.5	64.3	-270.1	-270.1
16:03:21	413.9	423.5	64.4	-270.1	-270.1
16:03:22	413.9	423.5	64.5	-270.1	-270.1
16:03:23	413.9	423.5	64.7	-270.1	-270.1
16:03:24	413.9	423.5	65	-270.1	-270.1
16:03:25	413.9	423.5	65.4	-270.1	-270.1
16:03:26	413.9	423.5	65.8	-270.1	-270.1
16:03:27	413.9	423.5	66.2	-270.1	-270.1
16:03:28	413.9	423.5	66.5	-270.1	-270.1
16:03:29	413.9	423.5	67.1	-270.1	-270.1
16:03:30	413.9	423.6	67.7	-270.1	-270.1
16:03:31	413.9	423.6	68.5	-270.1	-270.1
16:03:32	413.9	423.6	69.4	-270.1	-270.1
16:03:33	413.9	423.6	70.5	-270.1	-270.1
16:03:34	413.9	423.6	71.7	-270.1	-270.1
16:03:35	413.9	423.6	73.5	-270.1	-270.1
16:03:36	413.9	423.6	75.7	-270.1	-270.1
16:03:37	413.9	423.6	78.3	-270.1	-270.1
16:03:38	413.9	423.6	81.4	-270.1	-270.1
16:03:39	413.9	423.6	85	-270.1	-270.1
16:03:40	413.9	423.6	88.9	-270.1	-270.1
16:03:41	413.9	423.6	93.2	-270.1	-270.1
16:03:42	413.9	423.7	97.8	-270.1	-270.1
16:03:43	413.9	423.7	102.6	-270.1	-270.1
16:03:44	413.9	423.7	107.6	-270.1	-270.1
16:03:45	413.8	423.7	107.6	-270.1	-270.1
16:03:46	413.8	423.7	112.8	-270.1	-270.1
16:03:47	413.8	423.7	118.1	-270.1	-270.1
16:03:48	413.8	423.7	123.4	-270.1	-270.1
16:03:49	413.8	423.7	128.7	-270.1	-270.1
16:03:50	413.7	423.7	134.1	-270.1	-270.1
16:03:51	413.7	423.7	139.4	-270.1	-270.1
16:03:52	413.7	423.7	144.6	-270.1	-270.1
16:03:53	413.6	423.7	149.6	-270.1	-270.1
16:03:54	413.6	423.7	154.5	-270.1	-270.1
16:03:55	413.6	423.7	159.2	-270.1	-270.1
16:03:56	413.6	423.7	163.8	-270.1	-270.1
16:03:57	413.6	423.7	168.2	-270.1	-270.1
16:03:58	413.5	423.7	172.6	-270.1	-270.1
16:03:59	413.5	423.7	176.8	-270.1	-270.1
16:04:00	413.5	423.7	180.9	-270.1	-270.1
16:04:01	413.5	423.7	185	-270.1	-270.1
16:04:02	413.5	423.7	189	-270.1	-270.1
16:04:03	413.4	423.7	192.9	-270.1	-270.1
16:04:04	413.4	423.6	196.8	-270.1	-270.1
16:04:05	413.4	423.6	200.6	-270.1	-270.1
16:04:06	413.4	423.6	204.3	-270.1	-270.1
16:04:07	413.4	423.6	208	-270.1	-270.1
16:04:08	413.3	423.6	211.6	-270.1	-270.1
16:04:09	413.3	423.6	215.2	-270.1	-270.1
16:04:10	413.2	423.5	218.7	-270.1	-270.1
16:04:11	413.3	423.5	222.1	-270.1	-270.1
16:04:12	413.3	423.6	225.6	-270.1	-270.1
16:04:13	413.3	423.5	228.9	-270.1	-270.1
16:04:14	413.2	423.5	232.2	-270.1	-270.1
16:04:15	413.2	423.5	235.4	-270.1	-270.1
16:04:16	413.2	423.5	238.6	-270.1	-270.1
16:04:17	413.2	423.5	241.7	-270.1	-270.1
16:04:18	413.1	423.4	244.7	-270.1	-270.1
16:04:19	413.1	423.4	247.7	-270.1	-270.1
16:04:20	413.1	423.4	250.7	-270.1	-270.1
16:04:21	413.1	423.4	253.6	-270.1	-270.1
16:04:22	413.1	423.4	256.5	-270.1	-270.1
16:04:23	413.1	423.4	259.2	-270.1	-270.1
16:04:24	413	423.4	262	-270.1	-270.1
16:04:25	413	423.4	264.7	-270.1	-270.1
16:04:26	413	423.3	267.3	-270.1	-270.1
16:04:27	413	423.3	269.9	-270.1	-270.1
16:04:28	413	423.3	272.5	-270.1	-270.1
16:04:29	413	423.3	275	-270.1	-270.1
16:04:30	412.9	423.3	277.5	-270.1	-270.1
16:04:31	412.9	423.3	279.9	-270.1	-270.1
16:04:32	412.9	423.2	282.3	-270.1	-270.1
16:04:33	412.9	423.2	284.6	-270.1	-270.1
16:04:34	412.9	423.2	286.9	-270.1	-270.1
16:04:35	412.9	423.2	289.2	-270.1	-270.1
16:04:36	412.9	423.2	291.4	-270.1	-270.1
16:04:37	412.8	423.2	293.5	-270.1	-270.1
16:04:38	412.8	423.2	295.6	-270.1	-270.1
16:04:39	412.8	423.2	297.7	-270.1	-270.1
16:04:40	412.8	423.2	299.7	-270.1	-270.1
16:04:41	412.8	423.2	301.7	-270.1	-270.1
16:04:42	412.8	423.1	303.7	-270.1	-270.1
16:04:43	412.8	423.1	305.6	-270.1	-270.1
16:04:44	412.7	423.1	307.5	-270.1	-270.1
16:04:45	412.7	423.1	309.4	-270.1	-270.1
16:04:46	412.7	423.1	311.2	-270.1	-270.1
16:04:47	412.7	423.1	313.1	-270.1	-270.1
16:04:48	412.7	423.1	314.8	-270.1	-270.1
16:04:49	412.7	423.1	316.6	-270.1	-270.1
16:04:50	412.7	423.1	318.3	-270.1	-270.1
16:04:51	412.7	423.1	319.9	-270.1	-270.1
16:04:52	412.7	423.1	319.9	-270.1	-270.1
16:04:53	412.7	423.1	321.6	-270.1	-270.1
16:04:54	412.7	423.1	323.2	-270.1	-270.1
16:04:55	412.7	423.1	324.8	-270.1	-270.1
16:04:56	412.7	423.1	326.3	-270.1	-270.1
16:04:57	412.6	423.1	327.8	-270.1	-270.1
16:04:58	412.6	423.1	329.3	-270.1	-270.1
16:04:59	412.7	423.1	330.8	-270.1	-270.1
16:05:00	412.7	423.1	332.3	-270.1	-270.1
16:05:01	412.6	423.1	333.7	-270.1	-270.1
16:05:02	412.6	423.1	335	-270.1	-270.1
16:05:03	412.6	423.1	336.4	-270.1	-270.1
16:05:04	412.6	423.1	337.7	-270.1	-270.1
16:05:05	412.6	423.1	339	-270.1	-270.1
16:05:06	412.6	423.1	340.2	-270.1	-270.1
16:05:07	412.6	423.1	341.5	-270.1	-270.1
16:05:08	412.6	423.1	342.7	-270.1	-270.1
16:05:09	412.6	423.1	343.9	-270.1	-270.1
16:05:10	412.6	423.1	345.1	-270.1	-270.1
16:05:11	412.6	423.1	346.3	-270.1	-270.1
16:05:12	412.6	423.1	347.4	-270.1	-270.1
16:05:13	412.6	423.1	348.5	-270.1	-270.1
16:05:14	412.5	423.1	349.6	-270.1	-270.1
