温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
 9:43:40	35.5	35	35	-270.1	-270.1
 9:43:41	35.7	35.1	35.1	-270.1	-270.1
 9:43:42	35.9	35.1	35.2	-270.1	-270.1
 9:43:43	36	35	35.1	-270.1	-270.1
 9:43:44	36.3	35	35.2	-270.1	-270.1
 9:43:45	36.6	35.1	35.2	-270.1	-270.1
 9:43:46	36.9	35.1	35.3	-270.1	-270.1
 9:43:47	37.2	35.2	35.3	-270.1	-270.1
 9:43:48	37.6	35.2	35.4	-270.1	-270.1
 9:43:49	38	35.2	35.5	-270.1	-270.1
 9:43:50	38.4	35.3	35.5	-270.1	-270.1
 9:43:51	38.8	35.2	35.6	-270.1	-270.1
 9:43:52	39.3	35.3	35.6	-270.1	-270.1
 9:43:53	39.9	35.4	35.8	-270.1	-270.1
 9:43:54	40.4	35.5	35.9	-270.1	-270.1
 9:43:55	41	35.5	36	-270.1	-270.1
 9:43:56	41.6	35.6	36.1	-270.1	-270.1
 9:43:57	42.3	35.7	36.3	-270.1	-270.1
 9:43:58	43	35.8	36.4	-270.1	-270.1
 9:43:59	43.7	35.9	36.6	-270.1	-270.1
 9:44: 0	44.5	36	36.7	-270.1	-270.1
 9:44: 1	45.4	36.1	36.9	-270.1	-270.1
 9:44: 2	46.2	36.2	37.1	-270.1	-270.1
 9:44: 3	47.1	36.4	37.3	-270.1	-270.1
 9:44: 4	48.1	36.5	37.5	-270.1	-270.1
 9:44: 5	49.1	36.7	37.7	-270.1	-270.1
 9:44: 6	50.1	36.8	37.9	-270.1	-270.1
 9:44: 7	51.2	37	38.2	-270.1	-270.1
 9:44: 8	52.3	37.2	38.4	-270.1	-270.1
 9:44: 9	53.5	37.4	38.7	-270.1	-270.1
 9:44:10	54.7	37.6	39	-270.1	-270.1
 9:44:11	55.9	37.8	39.3	-270.1	-270.1
 9:44:12	57.2	38	39.6	-270.1	-270.1
 9:44:13	58.5	38.3	39.9	-270.1	-270.1
 9:44:14	59.9	38.5	40.2	-270.1	-270.1
 9:44:15	61.3	38.8	40.6	-270.1	-270.1
 9:44:16	62.7	39	40.6	-270.1	-270.1
 9:44:17	64.2	39.3	40.9	-270.1	-270.1
 9:44:18	65.6	39.6	41.3	-270.1	-270.1
 9:44:19	67.2	39.9	41.7	-270.1	-270.1
 9:44:20	68.7	40.2	42.1	-270.1	-270.1
 9:44:21	70.3	40.5	42.5	-270.1	-270.1
 9:44:22	71.9	40.8	42.9	-270.1	-270.1
 9:44:23	73.6	41.1	43.3	-270.1	-270.1
 9:44:24	75.3	41.5	43.8	-270.1	-270.1
 9:44:25	77.1	41.8	44.2	-270.1	-270.1
 9:44:26	78.8	42.2	44.7	-270.1	-270.1
 9:44:27	80.7	42.6	45.2	-270.1	-270.1
 9:44:28	82.5	43	45.7	-270.1	-270.1
 9:44:29	84.3	43.3	46.2	-270.1	-270.1
 9:44:30	86.2	43.3	46.7	-270.1	-270.1
 9:44:31	88.2	43.7	47.2	-270.1	-270.1
 9:44:32	90.1	44.2	47.8	-270.1	-270.1
 9:44:33	92.1	44.6	48.3	-270.1	-270.1
 9:44:34	94.1	45	48.9	-270.1	-270.1
 9:44:35	96.1	45.5	49.5	-270.1	-270.1
 9:44:36	98.2	45.9	50.1	-270.1	-270.1
 9:44:37	100.3	46.4	50.7	-270.1	-270.1
 9:44:38	102.4	46.8	51.3	-270.1	-270.1
 9:44:39	104.6	47.3	51.9	-270.1	-270.1
 9:44:40	106.8	47.8	52.6	-270.1	-270.1
 9:44:41	109	48.3	53.3	-270.1	-270.1
 9:44:42	111.3	48.9	53.9	-270.1	-270.1
 9:44:43	113.6	49.5	54.7	-270.1	-270.1
 9:44:44	113.6	50	55.4	-270.1	-270.1
 9:44:45	115.8	50.5	56	-270.1	-270.1
 9:44:46	118.1	51.1	56.8	-270.1	-270.1
 9:44:47	120.5	51.7	57.5	-270.1	-270.1
 9:44:48	122.8	52.3	58.3	-270.1	-270.1
 9:44:49	125.2	52.9	59	-270.1	-270.1
 9:44:50	127.6	53.5	59.8	-270.1	-270.1
 9:44:51	130	54.1	60.6	-270.1	-270.1
 9:44:52	132.5	54.7	61.4	-270.1	-270.1
 9:44:53	135	55.4	62.3	-270.1	-270.1
 9:44:54	137.5	56.1	63.1	-270.1	-270.1
 9:44:55	140	56.7	64	-270.1	-270.1
 9:44:56	142.6	57.4	64.8	-270.1	-270.1
 9:44:57	145.2	58.2	65.7	-270.1	-270.1
 9:44:58	147.7	58.9	66.6	-270.1	-270.1
 9:44:59	150.3	59.6	67.5	-270.1	-270.1
 9:45: 0	152.9	60.4	68.4	-270.1	-270.1
 9:45: 1	155.5	61.1	69.4	-270.1	-270.1
