PM 01:32:21    9.1083   
PM 01:32:22    9.1081   
PM 01:32:22    9.1081   
PM 01:32:23    9.1081 g 
PM 01:32:23    9.1079 g 
PM 01:32:23    9.1079 g 
PM 01:32:24    9.1078 g 
PM 01:32:24    9.1077 g 
PM 01:32:25    9.1076 g 
PM 01:32:25    9.1075 g 
PM 01:32:26    9.1075 g 
PM 01:32:26    9.1074 g 
PM 01:32:27    9.1074 g 
PM 01:32:27    9.1074 g 
PM 01:32:28    9.1074 g 
PM 01:32:28    9.1074 g 
PM 01:32:29    9.1070 g 
PM 01:32:29    9.1070 g 
PM 01:32:30    9.1070 g 
PM 01:32:30    9.1070 g 
PM 01:32:31    9.1070 g 
PM 01:32:31    9.1070 g 
PM 01:32:32    9.1070 g 
PM 01:32:33    9.1070 g 
PM 01:32:33    9.1068 g 
PM 01:32:34    9.1068 g 
PM 01:32:35    9.1068 g 
PM 01:32:35    9.1068 g 
PM 01:32:36    9.1067 g 
PM 01:32:37    9.1067 g 
PM 01:32:37    9.1066 g 
PM 01:32:39    9.1065 g 
PM 01:32:40    9.1063 g 
PM 01:32:40    9.1063 g 
PM 01:32:41    9.1063 g 
PM 01:32:42    9.1063 g 
PM 01:32:42    9.1058 g 
PM 01:32:43    9.1058 g 
PM 01:32:43    9.1058 g 
PM 01:32:44    9.1058 g 
PM 01:32:45    9.1058 g 
PM 01:32:45    9.1057 g 
PM 01:32:46    9.1057 g 
PM 01:32:47    9.1057 g 
PM 01:32:47    9.1057 g 
PM 01:32:48    9.1056 g 
PM 01:32:49    9.1056 g 
PM 01:32:49    9.1055 g 
PM 01:32:50    9.1054 g 
PM 01:32:51    9.1054 g 
PM 01:32:51    9.1053 g 
PM 01:32:52    9.1053 g 
PM 01:32:52    9.1051 g 
PM 01:32:53    9.1051 g 
PM 01:32:54    9.1050 g 
PM 01:32:54    9.1046 g 
PM 01:32:55    9.1045 g 
PM 01:32:55    9.1045 g 
PM 01:32:56    9.1044 g 
PM 01:32:57    9.1044 g 
PM 01:32:57    9.1043 g 
PM 01:32:58    9.1042 g 
PM 01:32:59    9.1041 g 
PM 01:32:59    9.1041 g 
PM 01:33:00    9.1040 g 
PM 01:33:01    9.1040 g 
PM 01:33:01    9.1039 g 
PM 01:33:02    9.1039 g 
PM 01:33:03    9.1038 g 
PM 01:33:03    9.1034 g 
PM 01:33:04    9.1034 g 
PM 01:33:04    9.1034 g 
PM 01:33:05    9.1034 g 
PM 01:33:06    9.1033 g 
PM 01:33:06    9.1031 g 
PM 01:33:07    9.1031 g 
PM 01:33:07    9.1030 g 
PM 01:33:08    9.1030 g 
PM 01:33:09    9.1029 g 
PM 01:33:09    9.1028 g 
PM 01:33:10    9.1028 g 
PM 01:33:11    9.1027 g 
PM 01:33:11    9.1027 g 
PM 01:33:12    9.1022 g 
PM 01:33:13    9.1022 g 
PM 01:33:13    9.1022 g 
PM 01:33:14    9.1022 g 
PM 01:33:15    9.1021 g 
PM 01:33:15    9.1020 g 
PM 01:33:16    9.1020 g 
PM 01:33:16    9.1020 g 
PM 01:33:17    9.1020 g 
PM 01:33:18    9.1019 g 
PM 01:33:18    9.1018 g 
PM 01:33:19    9.1017 g 
PM 01:33:19    9.1015 g 
PM 01:33:20    9.1011 g 
PM 01:33:21    9.1010 g 
PM 01:33:21    9.1010 g 
PM 01:33:22    9.1010 g 
PM 01:33:23    9.1009 g 
PM 01:33:23    9.1009 g 
PM 01:33:24    9.1009 g 
PM 01:33:25    9.1009 g 
PM 01:33:25    9.1008 g 
PM 01:33:26    9.1008 g 
PM 01:33:27    9.1008 g 
PM 01:33:27    9.1006 g 
PM 01:33:28    9.1005 g 
PM 01:33:28    9.1004 g 
PM 01:33:29    9.1004 g 
PM 01:33:30    9.1003 g 
PM 01:33:30    9.0999 g 
PM 01:33:31    9.0999 g 
PM 01:33:31    9.0999 g 
PM 01:33:32    9.0999 g 
PM 01:33:33    9.0999 g 
PM 01:33:33    9.0999 g 
PM 01:33:34    9.0998 g 
